iterate,H1,H2,H3,H10,H11,tau
-4.790145055415626,-4.410695072264022,-4.456450832581801,-3.9305037851151563,-5.389282490069725,2.329438090445435,1
-4.457225214129371,-4.213846819695779,-4.6451055764338625,-4.309347518455451,-4.354369084517382,1.4814777611710035,2
-4.82735728988512,-4.588752309478009,-5.04673984986833,-3.7104884187449367,-4.402393319563782,1.6626428777956566,3
-5.190643432220333,-4.475013087200998,-5.462329855973361,-5.161899614230012,-4.722928471706265,0.7949794699593309,4
-5.621930079284468,-5.276427482133045,-6.373100848474355,-4.760057955680504,-5.500663675883212,1.692258843123254,5
-5.957156612611611,-5.518083282891093,-5.202268974223287,-4.151923725871459,-5.063379194078939,1.0768109231339271,6
-6.1473377187086635,-4.902924807481662,-4.76135247849874,-4.129458662150088,-5.789237246650213,1.0428741579561656,7
-5.601119927127298,-5.211452419945787,-4.375230695895967,-4.446806125546403,-5.6193564233491955,1.1726295684035968,8
-5.357037669518161,-6.036077470764195,-5.350671472832716,-4.649246410825453,-4.853579938560215,0.7312223243291418,9
-5.6455070742642235,-5.688535780478353,-6.231563496502232,-4.57543754183567,-5.530488278168126,0.9292685397825854,10
