D,LNGL,samplesize
0.2530713187372992,0.20126997846115927,10
0.2481269578887183,0.2277846158505872,10
0.24882859764217163,0.19406572744261524,10
0.2539779463752414,0.2062451132187546,10
0.2534433985034099,0.33167406279179723,10
0.24820750311672066,0.23225803416946436,10
0.24858304667770323,0.2621655578967237,10
0.2518084233280137,0.23197654903058934,10
0.2495944856398525,0.14812630903195415,10
0.24878348777580173,0.23024944142744252,10
0.25068708718809507,0.19941767233455268,20
0.2524866349922912,0.20403599401514752,20
0.2526063636523761,0.274950284104577,20
0.25175783832225934,0.11597947717816628,20
0.2469416382592735,0.2316896144604205,20
0.24650969660373176,0.2692362858078127,20
0.24981495596311296,0.3017483517507285,20
0.25475254539374526,0.1939098041408889,20
0.24919361492565062,0.18901250339959555,20
0.24780797735721846,0.1442848872940808,20
