pest,ptrue,x,y
0.0034227815282130173,0.0010000000000000002,0.1,0.1
0.003502950178081402,0.002000000000000001,0.1,0.2
0.003255251486472,0.002999999999999999,0.1,0.3
0.004983610293554651,0.004000000000000002,0.1,0.4
0.005557304814009042,0.004999999999999999,0.1,0.5
0.006347017067671032,0.005999999999999997,0.1,0.6
0.006647199589066717,0.006999999999999999,0.1,0.7
0.006101102895697899,0.008000000000000014,0.1,0.8
0.006264218512613542,0.009000000000000001,0.1,0.9
0.006357501512353404,0.009999999999999995,0.1,1.0
0.0035425112599420158,0.002000000000000001,0.2,0.1
0.0036640161242745056,0.003,0.2,0.2
0.003355341120717017,0.003999999999999998,0.2,0.3
0.004737236105418405,0.005000000000000006,0.2,0.4
0.0052697556133045635,0.005999999999999997,0.2,0.5
0.006648062760023407,0.007000000000000001,0.2,0.6
0.00708351939076558,0.008,0.2,0.7
0.0067144427330209444,0.009000000000000001,0.2,0.8
0.007407187519911679,0.010000000000000002,0.2,0.9
0.007173703960282537,0.010999999999999996,0.2,1.0
0.004348753627201867,0.002999999999999999,0.3,0.1
0.004267635446648993,0.003999999999999998,0.3,0.2
0.00410743925100221,0.005000000000000003,0.3,0.3
0.005280721751575771,0.005999999999999995,0.3,0.4
0.0060065901040775825,0.006999999999999999,0.3,0.5
0.00769215140767101,0.008000000000000007,0.3,0.6
0.007467300160963318,0.00899999999999998,0.3,0.7
0.008940557024747584,0.010000000000000009,0.3,0.8
0.010512950818343974,0.010999999999999996,0.3,0.9
0.01184278333184347,0.01200000000000001,0.3,1.0
0.005328530147961467,0.004000000000000002,0.4,0.1
0.0056764728218966064,0.005000000000000006,0.4,0.2
0.0054446402765113665,0.005999999999999995,0.4,0.3
0.00609896371087052,0.00700000000000001,0.4,0.4
0.006466094885786,0.008,0.4,0.5
0.008118361220323915,0.00899999999999998,0.4,0.6
0.008942986003821918,0.010000000000000023,0.4,0.7
0.011493896071295683,0.011000000000000038,0.4,0.8
0.014137321158546249,0.011999999999999983,0.4,0.9
0.016214155551666328,0.012999999999999984,0.4,1.0
0.006542533098689015,0.004999999999999999,0.5,0.1
0.006131765634211249,0.005999999999999998,0.5,0.2
0.005816101361360987,0.006999999999999999,0.5,0.3
0.006470629414121439,0.008,0.5,0.4
0.006801784136757753,0.008999999999999994,0.5,0.5
0.010002679151736934,0.009999999999999995,0.5,0.6
0.011617820447450678,0.010999999999999982,0.5,0.7
0.013615081013420391,0.011999999999999983,0.5,0.8
0.019851616520595604,0.013000000000000012,0.5,0.9
0.020946550615322624,0.014000000000000012,0.5,1.0
0.009653943693991451,0.005999999999999997,0.6,0.1
0.007400544703177929,0.007000000000000001,0.6,0.2
0.006849858324098424,0.008000000000000007,0.6,0.3
0.007045995973611018,0.00899999999999998,0.6,0.4
0.007281576918114129,0.009999999999999995,0.6,0.5
0.010677927953226347,0.011000000000000038,0.6,0.6
0.012564740720098113,0.011999999999999983,0.6,0.7
0.013876297662221954,0.013000000000000012,0.6,0.8
0.019901511028821428,0.014000000000000012,0.6,0.9
0.02156536650321898,0.014999999999999958,0.6,1.0
0.009340455738979226,0.006999999999999999,0.7,0.1
0.007858805759048529,0.008,0.7,0.2
0.006998427156481676,0.00899999999999998,0.7,0.3
0.008121224149400379,0.010000000000000023,0.7,0.4
0.008116958598109783,0.010999999999999982,0.7,0.5
0.01214358496642241,0.011999999999999983,0.7,0.6
0.01666174297919393,0.012999999999999984,0.7,0.7
0.0152406213058582,0.014000000000000068,0.7,0.8
0.018390567742688598,0.014999999999999958,0.7,0.9
0.019667384900141124,0.016000000000000014,0.7,1.0
0.008429077116851437,0.008000000000000014,0.8,0.1
0.007499106476876792,0.009000000000000001,0.8,0.2
0.007954328744098627,0.010000000000000009,0.8,0.3
0.009206976733797154,0.011000000000000038,0.8,0.4
0.00862893082923803,0.011999999999999983,0.8,0.5
0.013236510763670889,0.013000000000000012,0.8,0.6
0.01979678885738584,0.014000000000000068,0.8,0.7
0.01679027464292245,0.014999999999999958,0.8,0.8
0.018130848939858484,0.016000000000000014,0.8,0.9
0.018722443841003723,0.017000000000000015,0.8,1.0
0.008718723412759258,0.009000000000000001,0.9,0.1
0.00777592694459879,0.010000000000000002,0.9,0.2
0.00825991216449078,0.010999999999999996,0.9,0.3
0.00921250901228007,0.011999999999999983,0.9,0.4
0.009785142364707398,0.013000000000000012,0.9,0.5
0.012717813760877258,0.014000000000000012,0.9,0.6
0.016869563669093323,0.014999999999999958,0.9,0.7
0.016830147197138618,0.016000000000000014,0.9,0.8
0.016352083346225132,0.017000000000000015,0.9,0.9
0.016924152011632988,0.017999999999999905,0.9,1.0
0.008875566535198129,0.009999999999999995,1.0,0.1
0.009189509877114938,0.010999999999999996,1.0,0.2
0.009976856066388306,0.01200000000000001,1.0,0.3
0.010734472359358451,0.012999999999999984,1.0,0.4
0.010823164320395066,0.014000000000000012,1.0,0.5
0.012600050920688919,0.014999999999999958,1.0,0.6
0.015189840562833862,0.016000000000000014,1.0,0.7
0.017782997982868747,0.017000000000000015,1.0,0.8
0.01867227171078937,0.017999999999999905,1.0,0.9
0.020736891426137674,0.019000000000000128,1.0,1.0
